username,like_count,comment_count,created_at,code_potst,text,profile_pic_url
itbearyoutube,6,0,2019-08-18 05:19:15,B1Sxh2GHJht,Do you want extract info about your followers or following how  name  bio email contact number?? This gigs is for you.  https://www.fiverr.com/itbear/scrapy-instagram-data-followers  If you send in fiverr a message with the code INSTAFIVERR get a 15% discount  #fiverrgigs #fiveer #fiverrbuyers  #fiverrgigpromotion #digitalmarketing #digitalmarketingstrategy,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/66523364_2139041473063446_8251136678496133869_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=bd7b9513fb2307f953520e434eaa25fa&oe=5E0CA0EF&ig_cache_key=MjExMjk2OTAwNTI5NjU1NjE0MQ%3D%3D.2
itbearyoutube,4,0,2019-08-16 09:16:57,B1ODJC7nLcg,Hey que tal  te envio esta oferta en fiverr para extraer info acerca de tus followers   si entras a fiverr y me envias un msm con el codigo FIVINSTA obten un 25% en tus ordenes.  https://www.fiverr.com/s2/78521a57a1?utm_source=Twitter_Mobile  #marketing #marketingdigitale #digitalmarketing,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/67346218_484594375420449_1476704707661940377_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=88a32e5538fc5df85d76532d9e39da29&oe=5E1547F4&ig_cache_key=MjExMTYzOTA5MTA0NTc3NTEzNg%3D%3D.2
itbearyoutube,10,1,2019-06-02 07:48:27,ByMxZLQHOpb,Nuevos videos   visita mi canal de YouTube y sigue este increible curso GRATIS.  #pycoders #pythonprogrammlng  #programmer #programmerslife  #programming #programminglife  #programmerrepublic #worldcode  #coding #codinglife #webdevelopment  #webdeveloper #java #javascript  #code #sql #python #perl #php  #html #development #software #linux  #learntocode #linuxfan #nerd #geek  #coders #opensource #computer,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/60929172_115374993028918_6604396289018012250_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=7ca73945610e07d0f3a4d34b725cc38c&oe=5DF70AD7&ig_cache_key=MjA1NzIzNjM2NDE0ODkyNzA2Nw%3D%3D.2
itbearyoutube,5,0,2019-06-02 07:48:08,ByMxW6jntVI,Nuevos videos   visita mi canal de YouTube y sigue este increible curso GRATIS.  #pycoders #pythonprogrammlng  #programmer #programmerslife  #programming #programminglife  #programmerrepublic #worldcode  #coding #codinglife #webdevelopment  #webdeveloper #java #javascript  #code #sql #python #perl #php  #html #development #software #linux  #learntocode #linuxfan #nerd #geek  #coders #opensource #computer,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/60864404_145174056624612_3077570656883784538_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=83a858f176ddbdaeb7fdf573260b1445&oe=5E069988&ig_cache_key=MjA1NzIzNjIwODc4MzY0Mzk3Ng%3D%3D.2
itbearyoutube,5,0,2019-06-02 07:47:53,ByMxVDcHsGL,Nuevos videos   visita mi canal de YouTube y sigue este increible curso GRATIS.  #pycoders #pythonprogrammlng  #programmer #programmerslife  #programming #programminglife  #programmerrepublic #worldcode  #coding #codinglife #webdevelopment  #webdeveloper #java #javascript  #code #sql #python #perl #php  #html #development #software #linux  #learntocode #linuxfan #nerd #geek  #coders #opensource #computer,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/60664657_356183448417021_848409979979836697_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=f811dba34ef911bc02fcd54eb57366aa&oe=5DF0D08C&ig_cache_key=MjA1NzIzNjA4MDg4MjUzMjc0Nw%3D%3D.2
itbearyoutube,5,2,2019-05-30 09:24:26,ByFN_mSH-I3,Mira esos numeros con los dos videos de mi curso   como subio las  visitas al perfil  si quiere ver el curso link en la descripción  #pycoders #pythonprogramming  #programmer #programmerslife  #programming #programminglife  #programmerrepublic #worldcode  #coding #codinglife #webdevelopment  #webdeveloper #java #javascript  #code #sql #python #perl #php  #html #development #software #linux  #learntocode #linuxfan #nerd #geek  #coders #opensource #computer,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/p750x750/60792124_128944071633806_3732370242295393186_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=327521b231fc11366aa042190576ec75&oe=5E0B31EC&ig_cache_key=MjA1NTExMDM1MDAwMjQ0NjkwMw%3D%3D.2
itbearyoutube,11,1,2019-05-28 08:58:53,ByABexqn3YC,Link en la descripción.  #pycoders #pythonprogramming  #programmer #programmerslife  #programming #programminglife  #programmerrepublic #worldcode  #coding #codinglife #webdevelopment  #webdeveloper #java #javascript  #code #sql #python #perl #php  #html #development #software #linux  #learntocode #linuxfan #nerd #geek  #coders #opensource #computer,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/61122697_414532712722036_3542756454056384209_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=9471c5a8ffc744608b4cc972056c15d6&oe=5DF4A91B&ig_cache_key=MjA1MzY0Nzk0MzA0MDIwMjI0Mg%3D%3D.2
itbearyoutube,16,2,2019-05-27 05:29:46,Bx9EwRIHG-F,Link en mi perfil   quieres aprender python con Instagram   sigue mi curso que es Gratis!!! #python #pythonprogramming #python3 #pythons #pythoncode #pythonlove #pythonsofinstagram #pythonofinstagram  #developer #developers #developerslife,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/60440622_334076733928373_371672513477490938_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=8964e1771eea4da2d6c6d31ce3cf3699&oe=5DF8A811&ig_cache_key=MjA1MjgxNzkxNDI2MTQzNDI0NQ%3D%3D.2
itbearyoutube,90,4,2019-05-15 04:36:08,BxeFE9OHy3T,Primer video del curso Python + Api Instagram   link en mi perfil   anda y disfrútalo.  #python #python3 #pythonprogramming #pythoncode #pythonlove #pythons #learnprogramming #stackoverflow,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/59432848_2327442640655115_6294237819931338259_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=89c76309ee9e265d61bc3dc894542e0b&oe=5E000020&ig_cache_key=MjA0NDA5MzYxMTcxODQyMTk3MQ%3D%3D.2
itbearyoutube,24,2,2019-05-11 20:18:11,BxVdtOmnft5,Quieres saber como? Visita mi canal para conocerlo !!! #youtube #youtubers #youtubevideos #youtubelife #youtubesub4sub #youtubeviews,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/59352408_839562433088355_2445046759427892995_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=552574a306141900cf011ae825c2f1be&oe=5DF7BDCE&ig_cache_key=MjA0MTY2ODY1NzQ4NzkzNjM3Nw%3D%3D.2
